experiment,split,rule_count,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,fpr,tpr,bypass_rate,specificity,confusion_matrix
baseline_all_rules,valid,37,0.9641453831041258,1.0,0.933996383363472,0.9658719027582983,0.9720818993175057,930,0,73,1033,0.0,0.9339963833626275,0.06600361663646835,0.9999999999989247,"[[930, 0], [73, 1033]]"
baseline_all_rules,test,37,0.9651277013752456,0.9980750721847931,0.9376130198915009,0.9668997668997669,0.9743272278286569,928,2,69,1037,0.0021505376344062898,0.9376130198906532,0.06238698010844269,0.9978494623645184,"[[928, 2], [69, 1037]]"
threshold_0.1,valid,28,0.9641453831041258,1.0,0.933996383363472,0.9658719027582983,0.9720818993175057,930,0,73,1033,0.0,0.9339963833626275,0.06600361663646835,0.9999999999989247,"[[930, 0], [73, 1033]]"
threshold_0.1,test,28,0.9651277013752456,0.9980750721847931,0.9376130198915009,0.9668997668997669,0.9743272278286569,928,2,69,1037,0.0021505376344062898,0.9376130198906532,0.06238698010844269,0.9978494623645184,"[[928, 2], [69, 1037]]"
threshold_0.2,valid,26,0.9641453831041258,1.0,0.933996383363472,0.9658719027582983,0.9720818993175057,930,0,73,1033,0.0,0.9339963833626275,0.06600361663646835,0.9999999999989247,"[[930, 0], [73, 1033]]"
threshold_0.2,test,26,0.9651277013752456,0.9980750721847931,0.9376130198915009,0.9668997668997669,0.9743272278286569,928,2,69,1037,0.0021505376344062898,0.9376130198906532,0.06238698010844269,0.9978494623645184,"[[928, 2], [69, 1037]]"
threshold_0.3,valid,22,0.9641453831041258,1.0,0.933996383363472,0.9658719027582983,0.9720818993175057,930,0,73,1033,0.0,0.9339963833626275,0.06600361663646835,0.9999999999989247,"[[930, 0], [73, 1033]]"
threshold_0.3,test,22,0.9651277013752456,0.9980750721847931,0.9376130198915009,0.9668997668997669,0.9743272278286569,928,2,69,1037,0.0021505376344062898,0.9376130198906532,0.06238698010844269,0.9978494623645184,"[[928, 2], [69, 1037]]"
threshold_0.5,valid,16,0.9641453831041258,1.0,0.933996383363472,0.9658719027582983,0.9720162748643761,930,0,73,1033,0.0,0.9339963833626275,0.06600361663646835,0.9999999999989247,"[[930, 0], [73, 1033]]"
threshold_0.5,test,16,0.9656188605108055,0.9990366088631984,0.9376130198915009,0.9673507462686567,0.9742747282661532,929,1,69,1037,0.0010752688172031449,0.9376130198906532,0.06238698010844269,0.9989247311817216,"[[929, 1], [69, 1037]]"
threshold_1.0,valid,10,0.9641453831041258,1.0,0.933996383363472,0.9658719027582983,0.9720021777596298,930,0,73,1033,0.0,0.9339963833626275,0.06600361663646835,0.9999999999989247,"[[930, 0], [73, 1033]]"
threshold_1.0,test,10,0.9651277013752456,0.9980750721847931,0.9376130198915009,0.9668997668997669,0.9742650061249489,928,2,69,1037,0.0021505376344062898,0.9376130198906532,0.06238698010844269,0.9978494623645184,"[[928, 2], [69, 1037]]"
